route_id,time_slot,avg_speed,avg_delay_minutes
0,0,37,7.976195410250031
0,1,21,4.55635212401633
0,2,23,6.381099809299767
0,3,35,3.9388669192525185
0,4,33,2.763845761772307
0,5,44,9.650548219144142
0,6,40,4.498095607205338
0,7,37,5.857229191501718
0,8,43,4.210779940242304
0,9,47,6.4633082291801625
0,10,32,2.2683180247728636
0,11,34,2.4874024515670223
0,12,44,9.881982429404655
0,13,43,4.5539336635801275
0,14,27,1.0496990541124216
0,15,30,2.7895816367992463
0,16,27,7.561064512368886
0,17,20,6.453639773029103
0,18,29,4.226191556898454
0,19,28,9.234637079894027
0,20,28,6.609683141448022
0,21,21,1.8586910484137018
0,22,42,3.79884089544096
0,23,43,6.99330120955747
1,0,31,6.738017242196918
1,1,46,6.0511908326293105
1,2,22,2.0763482134447155
1,3,33,8.640224418394755
1,4,24,6.051494778125466
1,5,33,5.444160367279517
1,6,28,7.3959660071720865
1,7,45,1.2287721406968566
1,8,32,2.8154728210185658
1,9,26,5.278332008639006
1,10,48,5.577136220482325
1,11,49,2.2539830896528814
1,12,26,4.693446307320667
1,13,30,2.8275510226129246
1,14,32,1.6928191884591368
1,15,46,7.253064397357341
1,16,47,9.367278871083158
1,17,32,3.660703172539426
1,18,40,8.84314531168946
1,19,47,2.9659639349515023
1,20,39,9.0330309864098
1,21,30,3.9191051890474657
1,22,42,9.06482169931144
1,23,26,9.161455973911787
2,0,20,3.051416462877475
2,1,49,1.0046833929578423
2,2,32,8.74657524930709
2,3,26,2.4819026782864757
2,4,46,4.7566990283390105
2,5,24,7.2319242960124335
2,6,29,4.038536542632651
2,7,34,2.514619379556375
2,8,43,7.3271706300566
2,9,36,1.5840302239808342
2,10,45,9.662025654479
2,11,49,7.266738455558095
2,12,22,3.707904788350927
2,13,36,9.979664365440478
2,14,46,6.486079005819072
2,15,21,4.6993331198640815
2,16,42,3.507818178129503
2,17,20,6.709162102312274
2,18,49,2.304053848821008
2,19,31,5.0300484811578245
2,20,25,3.178497443603504
2,21,23,1.7276799369944373
2,22,43,3.1387378959315972
2,23,25,4.3100481944732785
3,0,39,9.850808268053587
3,1,41,5.821972156672826
3,2,35,8.18510612486096
3,3,28,3.8870205847456223
3,4,25,7.262315261117937
3,5,22,6.318036488694176
3,6,46,2.982169428089935
3,7,45,5.608837524693529
3,8,38,4.137993885625564
3,9,26,2.569297861044923
3,10,20,4.578148189787701
3,11,26,9.43056989863061
3,12,20,7.081211053353527
3,13,44,2.021261691165302
3,14,42,5.8730317644480925
3,15,29,3.3214746494364005
3,16,47,2.5745943438634256
3,17,35,5.996807304395161
3,18,47,3.347462573473681
3,19,20,1.837924910253093
3,20,31,6.024641082463878
3,21,46,2.6983639750724144
3,22,28,4.142886171513948
3,23,35,8.619950280144753
4,0,39,8.983777818386056
4,1,43,8.989930888848638
4,2,39,1.7572596849554394
4,3,27,8.068065860025492
4,4,27,6.457861536936309
4,5,22,4.350544899055688
4,6,44,6.971515921972502
4,7,48,3.555288772637191
4,8,33,5.938604104299275
4,9,41,5.035817286876226
4,10,48,3.018423785145038
4,11,20,1.1626782725396878
4,12,33,3.9285972834334095
4,13,39,4.298219061245739
4,14,27,8.6430106944476
4,15,36,3.772547126671503
4,16,35,1.8430729104528323
4,17,38,6.726993563673059
4,18,41,3.195906790411752
4,19,25,9.810035724475082
4,20,38,9.02841899659402
4,21,46,4.909549289593858
4,22,40,5.523733837946729
4,23,47,7.020316536967897
