bus_id,route_id,timestamp,latitude,longitude,current_speed,historical_avg_speed,historical_delay_minutes,time_slot,nearest_stop_index,destination_stop_index,distance_to_destination_km,effective_speed,eta_minutes
0,0,2024-01-01 06:00:00,22.58656076490561,88.32355563485277,38,40,4.498095607205338,6,1,2,7.932459579115933,39.0,16.701879575076006
0,0,2024-01-01 06:01:00,22.587549865927205,88.32349552388075,36,40,4.498095607205338,6,1,2,8.041240502363733,38.0,17.19479113725334
0,0,2024-01-01 06:02:00,22.58729018332772,88.32252643711381,25,40,4.498095607205338,6,1,2,8.003054122456193,32.5,19.272964756355233
0,0,2024-01-01 06:03:00,22.58695168393706,88.32263196704749,43,40,4.498095607205338,6,1,2,7.9665395710137386,41.5,16.015984143610744
0,0,2024-01-01 06:04:00,22.58787892389124,88.32333798595842,50,40,4.498095607205338,6,1,2,8.07603635808361,45.0,15.266144084650149
0,0,2024-01-01 06:05:00,22.58726074595354,88.3228749356722,40,40,4.498095607205338,6,1,2,8.003055508891713,40.0,16.50267887054291
0,0,2024-01-01 06:06:00,22.586599731446917,88.32298853819712,22,40,4.498095607205338,6,1,2,7.930985854901205,31.0,19.848390810239927
0,0,2024-01-01 06:07:00,22.587288157728366,88.32384857186675,50,40,4.498095607205338,6,1,2,8.016039123364711,45.0,15.186147771691621
0,0,2024-01-01 06:08:00,22.5867059951636,88.3241908589004,43,40,4.498095607205338,6,1,2,7.955492703690422,41.5,16.000012769167395
0,0,2024-01-01 06:09:00,22.58598616319407,88.32422751820512,42,40,4.498095607205338,6,1,2,7.87637265493345,41.0,16.02449461442502
0,0,2024-01-01 06:10:00,22.585631264722547,88.32492485779497,21,40,4.498095607205338,6,1,2,7.845580480574944,30.5,19.93202442145113
0,0,2024-01-01 06:11:00,22.58603623289052,88.32464384009741,28,40,4.498095607205338,6,1,2,7.886825331578827,34.0,18.416022662932676
0,0,2024-01-01 06:12:00,22.585629253177817,88.3244834018103,48,40,4.498095607205338,6,1,2,7.839953786097695,44.0,15.18894167915674
0,0,2024-01-01 06:13:00,22.58585228059955,88.3236465901711,44,40,4.498095607205338,6,1,2,7.855080290636751,42.0,15.719638879543554
0,0,2024-01-01 06:14:00,22.58585531318893,88.32424318052902,26,40,4.498095607205338,6,1,2,7.862096803097851,33.0,18.792817067383247
0,0,2024-01-01 06:15:00,22.584997195022925,88.32403674818345,20,40,4.498095607205338,6,1,2,7.764902197192314,30.0,20.02790000158997
0,0,2024-01-01 06:16:00,22.58577720570656,88.32371273849715,33,40,4.498095607205338,6,1,2,7.847497052194008,36.5,17.39809076149686
0,0,2024-01-01 06:17:00,22.585934935497576,88.32358968674319,47,40,4.498095607205338,6,1,2,7.863608221269125,43.5,15.344451774473097
0,0,2024-01-01 06:18:00,22.585591240832525,88.32289976997664,41,40,4.498095607205338,6,1,2,7.818489519711712,40.5,16.08104304381528
0,0,2024-01-01 06:19:00,22.58577290735366,88.32196077047652,41,40,4.498095607205338,6,1,2,7.829962852724957,40.5,16.098040574205278
0,0,2024-01-01 06:20:00,22.585379438383008,88.32203493533092,25,40,4.498095607205338,6,1,2,7.787007259678666,32.5,18.87410900968903
0,0,2024-01-01 06:21:00,22.58542392490312,88.32257492243711,56,40,4.498095607205338,6,1,2,7.796835165593001,48.0,14.244139564196589
0,0,2024-01-01 06:22:00,22.585338455226346,88.32325896858714,24,40,4.498095607205338,6,1,2,7.79414728977773,32.0,19.112121775538583
0,0,2024-01-01 06:23:00,22.585401164489483,88.32334023883035,51,40,4.498095607205338,6,1,2,7.801930587555606,45.5,14.78635572266328
0,0,2024-01-01 06:24:00,22.585853347156927,88.32429194298928,59,40,4.498095607205338,6,1,2,7.86244654515479,49.5,14.028333843756599
0,0,2024-01-01 06:25:00,22.584935482190463,88.32408958479216,49,40,4.498095607205338,6,1,2,7.758690825988527,44.5,14.959251777077508
